unit,unit_name,lesson,scene_idx,scene_id,scene_title,opener_jp,opener_zh,speaker,abc_guide,a_jp,a_zh,a_note,b_jp,b_zh,b_note,c_jp,c_zh,c_note
2,第2单元,6,4,l6_dlg_4,旅行の計画,新幹線で行きます。東京から京都まで２時間半ぐらいです。,坐新干线。从东京到京都大约两个半小时。,小野,「旅行の計画」· 旅行の計画 · 移动与へ/で/から/まで · 小野应答。A＝课文「一人で行きますか。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,一人で行きますか。,一个人去吗？,A 标准答（小野）：「旅行の計画」· 旅行の計画 · 移动与へ/で/から/まで；与教材会話一致.,一人で行きる？,一个人去吗？,B 更短：省略前半或应答词，同事间接上文时用（小野，可沟通）.,一人で行きますでしょうか。,一个人去吗？,C 更礼貌：对上级/客户或正式场合可选（小野，非错答）.
2,第2单元,6,5,l6_dlg_5,旅行の計画,一人で行きますか。,一个人去吗？,李,「旅行の計画」· 旅行の計画 · 移动与へ/で/から/まで · 李应答。A＝课文「いいえ、友達と一緒に行きます。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,いいえ、友達と一緒に行きます。,不，和朋友一起去。,A 标准答（李）：「旅行の計画」· 旅行の計画 · 移动与へ/で/から/まで；与教材会話一致.,友達と一緒に行きます。,不，和朋友一起去。,B 更短：省略前半或应答词，同事间接上文时用（李，可沟通）.,いいえ、友達と一緒に行きますね。,不，和朋友一起去。,C 语气更软：句末「ね」等，缓和确认时用（李，非错答）.
2,第2单元,6,6,l6_dlg_6,旅行の計画,いいえ、友達と一緒に行きます。,不，和朋友一起去。,小野,「旅行の計画」· 旅行の計画 · 移动与へ/で/から/まで · 小野应答。A＝课文「そうですか。楽しみですね。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,そうですか。楽しみですね。,是吗。很期待啊。,A 标准答（小野）：「旅行の計画」· 旅行の計画 · 移动与へ/で/から/まで；与教材会話一致.,楽しみですね。,很期待啊。,B 更短：省略前半或应答词，同事间接上文时用（小野，可沟通）.,そうですか。楽しみですねね。,是吗。很期待啊。,C 语气更软：句末「ね」等，缓和确认时用（小野，非错答）.
2,第2单元,6,7,l6_dlg_7,旅行の計画,そうですか。楽しみですね。,是吗。很期待啊。,李,「旅行の計画」· 旅行の計画 · 移动与へ/で/から/まで · 李应答。A＝课文「小野さんもどこかへ行きますか。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,小野さんもどこかへ行きますか。,小野你也打算去哪儿吗？,A 标准答（李）：「旅行の計画」· 旅行の計画 · 移动与へ/で/から/まで；与教材会話一致.,小野さんもどこかへ行きる？,小野你也打算去哪儿吗？,B 更短：省略前半或应答词，同事间接上文时用（李，可沟通）.,小野さんもどこかへ行きますでしょうか。,小野你也打算去哪儿吗？,C 更礼貌：对上级/客户或正式场合可选（李，非错答）.
2,第2单元,6,8,l6_dlg_8,旅行の計画,小野さんもどこかへ行きますか。,小野你也打算去哪儿吗？,小野,「旅行の計画」· 旅行の計画 · 移动与へ/で/から/まで · 小野应答。A＝课文「私はまだ決めていません。温泉に行きた…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,私はまだ決めていません。温泉に行きたいです。,我还没定。想去泡温泉。,A 标准答（小野）：「旅行の計画」· 旅行の計画 · 移动与へ/で/から/まで；与教材会話一致.,温泉に行きたいです。,想去泡温泉。,B 更短：省略前半或应答词，同事间接上文时用（小野，可沟通）.,私はまだ決めていません。温泉に行きたいでございます。,我还没定。想去泡温泉。,C 更礼貌：对上级/客户或正式场合可选（小野，非错答）.
2,第2单元,6,9,l6_dlg_9,旅行の計画,私はまだ決めていません。温泉に行きたいです。,我还没定。想去泡温泉。,李,「旅行の計画」· 旅行の計画 · 移动与へ/で/から/まで · 李应答。A＝课文「箱根はどうですか。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,箱根はどうですか。,箱根怎么样？,A 标准答（李）：「旅行の計画」· 旅行の計画 · 移动与へ/で/から/まで；与教材会話一致.,ええ、箱根はどうですか。,箱根怎么样？,B 同场景变体：节奏快、信息略减（李，可沟通）.,箱根はどうでしょうか。,箱根怎么样？,C 更礼貌：对上级/客户或正式场合可选（李，非错答）.
2,第2单元,6,10,l6_dlg_10,旅行の計画,箱根はどうですか。,箱根怎么样？,小野,「旅行の計画」· 旅行の計画 · 移动与へ/で/から/まで · 小野应答。A＝课文「箱根もいいですね。ちょっと考えます。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,箱根もいいですね。ちょっと考えます。,箱根也不错。我再想想。,A 标准答（小野）：「旅行の計画」· 旅行の計画 · 移动与へ/で/から/まで；与教材会話一致.,ちょっと考えます。,我再想想。,B 更短：省略前半或应答词，同事间接上文时用（小野，可沟通）.,箱根もいいですね。ちょっと考えますね。,箱根也不错。我再想想。,C 语气更软：句末「ね」等，缓和确认时用（小野，非错答）.
2,第2单元,6,11,l6_dlg_11,旅行の計画,箱根もいいですね。ちょっと考えます。,箱根也不错。我再想想。,李,「旅行の計画」· 旅行の計画 · 移动与へ/で/から/まで · 李应答。A＝课文「じゃあ、また後で。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,じゃあ、また後で。,那回头再说。,A 标准答（李）：「旅行の計画」· 旅行の計画 · 移动与へ/で/から/まで；与教材会話一致.,また後で。,那回头再说。,B 更短：省略前半或应答词，同事间接上文时用（李，可沟通）.,じゃあ、また後でね。,那回头再说。,C 语气更软：句末「ね」等，缓和确认时用（李，非错答）.
2,第2单元,7,1,l7_dlg_1,カフェで注文,いらっしゃいませ。ご注文はお決まりですか。,欢迎光临。您点好了吗？,小野,「カフェで注文」· カフェで注文 · を/にします/ください · 小野应答。A＝课文「すみません、ちょっとまだ… 李さん、…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,すみません、ちょっとまだ… 李さん、何にしますか。,不好意思，还没……小李，你点什么？,A 标准答（小野）：「カフェで注文」· カフェで注文 · を/にします/ください；与教材会話一致.,すみません、ちょっとまだ… 李さん、何にしる？,不好意思，还没……小李，你点什么？,B 更短：省略前半或应答词，同事间接上文时用（小野，可沟通）.,すみません、ちょっとまだ… 李さん、何にしますでしょうか。,不好意思，还没……小李，你点什么？,C 更礼貌：对上级/客户或正式场合可选（小野，非错答）.
2,第2单元,7,2,l7_dlg_2,カフェで注文,すみません、ちょっとまだ… 李さん、何にしますか。,不好意思，还没……小李，你点什么？,李,「カフェで注文」· カフェで注文 · を/にします/ください · 李应答。A＝课文「私はコーヒーにします。小野さんは？」；B＝同场景口语/缩短；C＝更礼貌或郑重。,私はコーヒーにします。小野さんは？,我点咖啡。小野呢？,A 标准答（李）：「カフェで注文」· カフェで注文 · を/にします/ください；与教材会話一致.,小野さんは？,小野呢？,B 更短：省略前半或应答词，同事间接上文时用（李，可沟通）.,私はコーヒーにします。小野さんはでしょうか。,我点咖啡。小野呢？,C 更礼貌：对上级/客户或正式场合可选（李，非错答）.
2,第2单元,7,3,l7_dlg_3,カフェで注文,私はコーヒーにします。小野さんは？,我点咖啡。小野呢？,小野,「カフェで注文」· カフェで注文 · を/にします/ください · 小野应答。A＝课文「私は紅茶にします。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,私は紅茶にします。,我点红茶。,A 标准答（小野）：「カフェで注文」· カフェで注文 · を/にします/ください；与教材会話一致.,私は紅茶にしるよ。,我点红茶。,B 口语体：です→だよ/るよ，轻松场合用（小野，非错答）.,私は紅茶にしますね。,我点红茶。,C 语气更软：句末「ね」等，缓和确认时用（小野，非错答）.
2,第2单元,7,4,l7_dlg_4,カフェで注文,私は紅茶にします。,我点红茶。,店員,「カフェで注文」· カフェで注文 · を/にします/ください · 店員应答。A＝课文「コーヒーと紅茶ですね。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,コーヒーと紅茶ですね。,咖啡和红茶是吧。,A 标准答（店員）：「カフェで注文」· カフェで注文 · を/にします/ください；与教材会話一致.,ええ、コーヒーと紅茶ですね。,咖啡和红茶是吧。,B 同场景变体：节奏快、信息略减（店員，可沟通）.,コーヒーと紅茶ですねね。,咖啡和红茶是吧。,C 语气更软：句末「ね」等，缓和确认时用（店員，非错答）.
2,第2单元,7,5,l7_dlg_5,カフェで注文,コーヒーと紅茶ですね。,咖啡和红茶是吧。,小野,「カフェで注文」· カフェで注文 · を/にします/ください · 小野应答。A＝课文「はい。それと、ケーキもありますか。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,はい。それと、ケーキもありますか。,嗯。还有蛋糕吗？,A 标准答（小野）：「カフェで注文」· カフェで注文 · を/にします/ください；与教材会話一致.,それと、ケーキもありますか。,还有蛋糕吗。,B 更短：省略前半或应答词，同事间接上文时用（小野，可沟通）.,はい。それと、ケーキもありますでしょうか。,嗯。还有蛋糕吗？,C 更礼貌：对上级/客户或正式场合可选（小野，非错答）.
2,第2单元,7,6,l7_dlg_6,カフェで注文,はい。それと、ケーキもありますか。,嗯。还有蛋糕吗？,店員,「カフェで注文」· カフェで注文 · を/にします/ください · 店員应答。A＝课文「はい、あります。今日はチーズケーキと…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,はい、あります。今日はチーズケーキとショートケーキです。,有的。今天是芝士蛋糕和海绵蛋糕。,A 标准答（店員）：「カフェで注文」· カフェで注文 · を/にします/ください；与教材会話一致.,今日はチーズケーキとショートケーキです。,今天是芝士蛋糕和海绵蛋糕。,B 更短：省略前半或应答词，同事间接上文时用（店員，可沟通）.,はい、あります。今日はチーズケーキとショートケーキでございます。,有的。今天是芝士蛋糕和海绵蛋糕。,C 更礼貌：对上级/客户或正式场合可选（店員，非错答）.
2,第2单元,7,7,l7_dlg_7,カフェで注文,はい、あります。今日はチーズケーキとショートケーキです。,有的。今天是芝士蛋糕和海绵蛋糕。,小野,「カフェで注文」· カフェで注文 · を/にします/ください · 小野应答。A＝课文「じゃあ、チーズケーキを一つください。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,じゃあ、チーズケーキを一つください。,那请给我一个芝士蛋糕。,A 标准答（小野）：「カフェで注文」· カフェで注文 · を/にします/ください；与教材会話一致.,チーズケーキを一つください。,那请给我一个芝士蛋糕。,B 更短：省略前半或应答词，同事间接上文时用（小野，可沟通）.,じゃあ、チーズケーキを一ついただけますでしょうか。,那请给我一个芝士蛋糕。,C 更礼貌：对上级/客户或正式场合可选（小野，非错答）.
2,第2单元,7,8,l7_dlg_8,カフェで注文,じゃあ、チーズケーキを一つください。,那请给我一个芝士蛋糕。,李,「カフェで注文」· カフェで注文 · を/にします/ください · 李应答。A＝课文「私は結構です。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,私は結構です。,我不用了。,A 标准答（李）：「カフェで注文」· カフェで注文 · を/にします/ください；与教材会話一致.,私は結構だよ。,我不用了。,B 口语体：です→だよ/るよ，轻松场合用（李，非错答）.,私は結構でございます。,我不用了。,C 更礼貌：对上级/客户或正式场合可选（李，非错答）.
2,第2单元,7,9,l7_dlg_9,カフェで注文,私は結構です。,我不用了。,店員,「カフェで注文」· カフェで注文 · を/にします/ください · 店員应答。A＝课文「かしこまりました。少々お待ちください…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,かしこまりました。少々お待ちください。,好的。请稍等。,A 标准答（店員）：「カフェで注文」· カフェで注文 · を/にします/ください；与教材会話一致.,少々お待ちください。,请稍等。,B 更短：省略前半或应答词，同事间接上文时用（店員，可沟通）.,かしこまりました。少々お待ちいただけますでしょうか。,好的。请稍等。,C 更礼貌：对上级/客户或正式场合可选（店員，非错答）.
2,第2单元,7,10,l7_dlg_10,カフェで注文,かしこまりました。少々お待ちください。,好的。请稍等。,B,「カフェで注文」· カフェで注文 · を/にします/ください · B应答。A＝课文「（数分後）」；B＝同场景口语/缩短；C＝更礼貌或郑重。,（数分後）,（几分钟后）,A 标准答（B）：「カフェで注文」· カフェで注文 · を/にします/ください；与教材会話一致.,（数分後）,（几分钟后）,B 与课文同句：叙述/旁白块，三种选项均为跟读（非选答）.,（数分後）,（几分钟后）,C 与课文同句：叙述块跟读用.
2,第2单元,7,11,l7_dlg_11,カフェで注文,（数分後）,（几分钟后）,小野,「カフェで注文」· カフェで注文 · を/にします/ください · 小野应答。A＝课文「李さんはよくカフェへ来ますか。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,李さんはよくカフェへ来ますか。,小李常来咖啡馆吗？,A 标准答（小野）：「カフェで注文」· カフェで注文 · を/にします/ください；与教材会話一致.,李さんはよくカフェへ来る？,小李常来咖啡馆吗？,B 更短：省略前半或应答词，同事间接上文时用（小野，可沟通）.,李さんはよくカフェへ来ますでしょうか。,小李常来咖啡馆吗？,C 更礼貌：对上级/客户或正式场合可选（小野，非错答）.
2,第2单元,7,12,l7_dlg_12,カフェで注文,李さんはよくカフェへ来ますか。,小李常来咖啡馆吗？,李,「カフェで注文」· カフェで注文 · を/にします/ください · 李应答。A＝课文「いいえ、あまり来ません。小野さんは？」；B＝同场景口语/缩短；C＝更礼貌或郑重。,いいえ、あまり来ません。小野さんは？,不，不太来。小野呢？,A 标准答（李）：「カフェで注文」· カフェで注文 · を/にします/ください；与教材会話一致.,小野さんは？,小野呢？,B 更短：省略前半或应答词，同事间接上文时用（李，可沟通）.,いいえ、あまり来ません。小野さんはでしょうか。,不，不太来。小野呢？,C 更礼貌：对上级/客户或正式场合可选（李，非错答）.
2,第2单元,7,13,l7_dlg_13,カフェで注文,いいえ、あまり来ません。小野さんは？,不，不太来。小野呢？,小野,「カフェで注文」· カフェで注文 · を/にします/ください · 小野应答。A＝课文「私はときどき来ます。ここは静かでいい…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,私はときどき来ます。ここは静かでいいですね。,我偶尔来。这里很安静，不错。,A 标准答（小野）：「カフェで注文」· カフェで注文 · を/にします/ください；与教材会話一致.,ここは静かでいいですね。,这里很安静，不错。,B 更短：省略前半或应答词，同事间接上文时用（小野，可沟通）.,私はときどき来ます。ここは静かでいいですねね。,我偶尔来。这里很安静，不错。,C 语气更软：句末「ね」等，缓和确认时用（小野，非错答）.
2,第2单元,7,14,l7_dlg_14,カフェで注文,私はときどき来ます。ここは静かでいいですね。,我偶尔来。这里很安静，不错。,李,「カフェで注文」· カフェで注文 · を/にします/ください · 李应答。A＝课文「そうですね。また一緒に来ましょう。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,そうですね。また一緒に来ましょう。,是啊。下次一起来吧。,A 标准答（李）：「カフェで注文」· カフェで注文 · を/にします/ください；与教材会話一致.,また一緒に来ましょう。,下次一起来吧。,B 更短：省略前半或应答词，同事间接上文时用（李，可沟通）.,そうですね。また一緒に来ましょうね。,是啊。下次一起来吧。,C 语气更软：句末「ね」等，缓和确认时用（李，非错答）.
2,第2单元,7,15,l7_dlg_15,カフェで注文,そうですね。また一緒に来ましょう。,是啊。下次一起来吧。,小野,「カフェで注文」· カフェで注文 · を/にします/ください · 小野应答。A＝课文「はい、ぜひ。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,はい、ぜひ。,好的，一定。,A 标准答（小野）：「カフェで注文」· カフェで注文 · を/にします/ください；与教材会話一致.,ぜひ。,好的，一定。,B 同场景变体：节奏快、信息略减（小野，可沟通）.,はい、ぜひね。,好的，一定。,C 语气更软：句末「ね」等，缓和确认时用（小野，非错答）.
2,第2单元,8,1,l8_dlg_1,プレゼントを渡す,小野さん、これ、プレゼントです。中国のお菓子です。,小野，这是礼物。中国的点心。,小野,「プレゼントを渡す」· プレゼント · 授受动词 · 小野应答。A＝课文「まあ、ありがとうございます。開けても…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,まあ、ありがとうございます。開けてもいいですか。,哎呀，谢谢。可以打开吗？,A 标准答（小野）：「プレゼントを渡す」· プレゼント · 授受动词；与教材会話一致.,開けてもいいですか。,可以打开吗。,B 更短：省略前半或应答词，同事间接上文时用（小野，可沟通）.,まあ、ありがとうございます。開けてもいいでしょうか。,哎呀，谢谢。可以打开吗？,C 更礼貌：对上级/客户或正式场合可选（小野，非错答）.
2,第2单元,8,2,l8_dlg_2,プレゼントを渡す,まあ、ありがとうございます。開けてもいいですか。,哎呀，谢谢。可以打开吗？,李,「プレゼントを渡す」· プレゼント · 授受动词 · 李应答。A＝课文「はい、どうぞ。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,はい、どうぞ。,嗯，请。,A 标准答（李）：「プレゼントを渡す」· プレゼント · 授受动词；与教材会話一致.,どうぞ。,嗯，请。,B 同场景变体：节奏快、信息略减（李，可沟通）.,はい、どうぞね。,嗯，请。,C 语气更软：句末「ね」等，缓和确认时用（李，非错答）.
2,第2单元,8,3,l8_dlg_3,プレゼントを渡す,はい、どうぞ。,嗯，请。,小野,「プレゼントを渡す」· プレゼント · 授受动词 · 小野应答。A＝课文「わあ、きれいな箱ですね。何が入ってい…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,わあ、きれいな箱ですね。何が入っていますか。,哇，盒子好漂亮。里面是什么？,A 标准答（小野）：「プレゼントを渡す」· プレゼント · 授受动词；与教材会話一致.,何が入っていますか。,里面是什么。,B 更短：省略前半或应答词，同事间接上文时用（小野，可沟通）.,わあ、きれいな箱ですね。何が入っていますでしょうか。,哇，盒子好漂亮。里面是什么？,C 更礼貌：对上级/客户或正式场合可选（小野，非错答）.
2,第2单元,8,4,l8_dlg_4,プレゼントを渡す,わあ、きれいな箱ですね。何が入っていますか。,哇，盒子好漂亮。里面是什么？,李,「プレゼントを渡す」· プレゼント · 授受动词 · 李应答。A＝课文「中にクッキーやキャンディなどが入って…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,中にクッキーやキャンディなどが入っています。,里面有饼干、糖果等。,A 标准答（李）：「プレゼントを渡す」· プレゼント · 授受动词；与教材会話一致.,中にクッキーやキャンディなどが入っているよ。,里面有饼干、糖果等。,B 口语体：です→だよ/るよ，轻松场合用（李，非错答）.,中にクッキーやキャンディなどが入っていますね。,里面有饼干、糖果等。,C 语气更软：句末「ね」等，缓和确认时用（李，非错答）.
2,第2单元,8,5,l8_dlg_5,プレゼントを渡す,中にクッキーやキャンディなどが入っています。,里面有饼干、糖果等。,小野,「プレゼントを渡す」· プレゼント · 授受动词 · 小野应答。A＝课文「ありがとうございます。とても嬉しいで…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,ありがとうございます。とても嬉しいです。,谢谢。非常高兴。,A 标准答（小野）：「プレゼントを渡す」· プレゼント · 授受动词；与教材会話一致.,とても嬉しいです。,非常高兴。,B 更短：省略前半或应答词，同事间接上文时用（小野，可沟通）.,ありがとうございます。とても嬉しいです。心より感謝いたします。,谢谢。非常高兴。,C 更礼貌：对上级/客户或正式场合可选（小野，非错答）.
2,第2单元,8,6,l8_dlg_6,プレゼントを渡す,ありがとうございます。とても嬉しいです。,谢谢。非常高兴。,李,「プレゼントを渡す」· プレゼント · 授受动词 · 李应答。A＝课文「いいえ、どういたしまして。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,いいえ、どういたしまして。,不客气。,A 标准答（李）：「プレゼントを渡す」· プレゼント · 授受动词；与教材会話一致.,どういたしまして。,不客气。,B 更短：省略前半或应答词，同事间接上文时用（李，可沟通）.,いいえ、どういたしましてね。,不客气。,C 语气更软：句末「ね」等，缓和确认时用（李，非错答）.
2,第2单元,8,7,l8_dlg_7,プレゼントを渡す,いいえ、どういたしまして。,不客气。,森,「プレゼントを渡す」· プレゼント · 授受动词 · 森应答。A＝课文「李さん、先月はありがとうございました…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,李さん、先月はありがとうございました。私からもプレゼントです。,小李，上个月谢谢你。我也送你礼物。,A 标准答（森）：「プレゼントを渡す」· プレゼント · 授受动词；与教材会話一致.,私からもプレゼントです。,我也送你礼物。,B 更短：省略前半或应答词，同事间接上文时用（森，可沟通）.,李さん、先月はありがとうございますございました。私からもプレゼントです。,小李，上个月谢谢你。我也送你礼物。,C 更礼貌：对上级/客户或正式场合可选（森，非错答）.
2,第2单元,8,8,l8_dlg_8,プレゼントを渡す,李さん、先月はありがとうございました。私からもプレゼントです。,小李，上个月谢谢你。我也送你礼物。,李,「プレゼントを渡す」· プレゼント · 授受动词 · 李应答。A＝课文「えっ、いいんですか。開けてもいいです…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,えっ、いいんですか。開けてもいいですか。,诶，可以吗。可以打开吗？,A 标准答（李）：「プレゼントを渡す」· プレゼント · 授受动词；与教材会話一致.,開けてもいいですか。,可以打开吗。,B 更短：省略前半或应答词，同事间接上文时用（李，可沟通）.,えっ、いいんですか。開けてもいいでしょうか。,诶，可以吗。可以打开吗？,C 更礼貌：对上级/客户或正式场合可选（李，非错答）.
2,第2单元,8,9,l8_dlg_9,プレゼントを渡す,えっ、いいんですか。開けてもいいですか。,诶，可以吗。可以打开吗？,森,「プレゼントを渡す」· プレゼント · 授受动词 · 森应答。A＝课文「もちろん。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,もちろん。,当然。,A 标准答（森）：「プレゼントを渡す」· プレゼント · 授受动词；与教材会話一致.,ええ、もちろん。,当然。,B 同场景变体：节奏快、信息略减（森，可沟通）.,もちろんね。,当然。,C 语气更软：句末「ね」等，缓和确认时用（森，非错答）.
2,第2单元,8,10,l8_dlg_10,プレゼントを渡す,もちろん。,当然。,李,「プレゼントを渡す」· プレゼント · 授受动词 · 李应答。A＝课文「あっ、日本の文房具ですね。とても便利…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,あっ、日本の文房具ですね。とても便利そうです。,啊，是日本的文具。看起来很实用。,A 标准答（李）：「プレゼントを渡す」· プレゼント · 授受动词；与教材会話一致.,とても便利そうです。,看起来很实用。,B 更短：省略前半或应答词，同事间接上文时用（李，可沟通）.,あっ、日本の文房具ですね。とても便利そうでございます。,啊，是日本的文具。看起来很实用。,C 更礼貌：对上级/客户或正式场合可选（李，非错答）.
2,第2单元,8,11,l8_dlg_11,プレゼントを渡す,あっ、日本の文房具ですね。とても便利そうです。,啊，是日本的文具。看起来很实用。,森,「プレゼントを渡す」· プレゼント · 授受动词 · 森应答。A＝课文「どうぞ使ってください。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,どうぞ使ってください。,请用吧。,A 标准答（森）：「プレゼントを渡す」· プレゼント · 授受动词；与教材会話一致.,どうぞ使ってちょうだい。,请用吧。,B 同场景变体：节奏快、信息略减（森，可沟通）.,どうぞ使っていただけますでしょうか。,请用吧。,C 更礼貌：对上级/客户或正式场合可选（森，非错答）.
2,第2单元,8,12,l8_dlg_12,プレゼントを渡す,どうぞ使ってください。,请用吧。,李,「プレゼントを渡す」· プレゼント · 授受动词 · 李应答。A＝课文「森さん、小野さん、本当にありがとうご…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,森さん、小野さん、本当にありがとうございました。,森先生、小野，真的非常感谢。,A 标准答（李）：「プレゼントを渡す」· プレゼント · 授受动词；与教材会話一致.,ええ、森さん、小野さん、本当にありがとうございました。,森先生、小野，真的非常感谢。,B 同场景变体：节奏快、信息略减（李，可沟通）.,森さん、小野さん、本当にありがとうございますございました。,森先生、小野，真的非常感谢。,C 更礼貌：对上级/客户或正式场合可选（李，非错答）.
2,第2单元,8,13,l8_dlg_13,プレゼントを渡す,森さん、小野さん、本当にありがとうございました。,森先生、小野，真的非常感谢。,B,「プレゼントを渡す」· プレゼント · 授受动词 · B应答。A＝课文「（後日、李からお礼の手紙を書くシーン…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,（後日、李からお礼の手紙を書くシーン）,（日后，小李写感谢信的场景）,A 标准答（B）：「プレゼントを渡す」· プレゼント · 授受动词；与教材会話一致.,（後日、李からお礼の手紙を書くシーン）,（日后，小李写感谢信的场景）,B 与课文同句：叙述/旁白块，三种选项均为跟读（非选答）.,（後日、李からお礼の手紙を書くシーン）,（日后，小李写感谢信的场景）,C 与课文同句：叙述块跟读用.
2,第2单元,8,14,l8_dlg_14,プレゼントを渡す,（後日、李からお礼の手紙を書くシーン）,（日后，小李写感谢信的场景）,B,「プレゼントを渡す」· プレゼント · 授受动词 · B应答。A＝课文「李（ナレーション）：小野さんと森さん…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,李（ナレーション）：小野さんと森さんに、日本語でお礼の手紙を書きます。,李（旁白）：给小野和森写日语感谢信。,A 标准答（B）：「プレゼントを渡す」· プレゼント · 授受动词；与教材会話一致.,李（ナレーション）：小野さんと森さんに、日本語でお礼の手紙を書きます。,李（旁白）：给小野和森写日语感谢信。,B 与课文同句：叙述/旁白块，三种选项均为跟读（非选答）.,李（ナレーション）：小野さんと森さんに、日本語でお礼の手紙を書きます。,李（旁白）：给小野和森写日语感谢信。,C 与课文同句：叙述块跟读用.
2,第2单元,8,15,l8_dlg_15,プレゼントを渡す,李（ナレーション）：小野さんと森さんに、日本語でお礼の手紙を書きます。,李（旁白）：给小野和森写日语感谢信。,小野,「プレゼントを渡す」· プレゼント · 授受动词 · 小野应答。A＝课文「李さんから手紙が来ました。日本語で書…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,李さんから手紙が来ました。日本語で書いてありますね。,小李来信了。是用日语写的呢。,A 标准答（小野）：「プレゼントを渡す」· プレゼント · 授受动词；与教材会話一致.,日本語で書いてありますね。,是用日语写的呢。,B 更短：省略前半或应答词，同事间接上文时用（小野，可沟通）.,李さんから手紙が来ました。日本語で書いてありますねね。,小李来信了。是用日语写的呢。,C 语气更软：句末「ね」等，缓和确认时用（小野，非错答）.
2,第2单元,8,16,l8_dlg_16,プレゼントを渡す,李さんから手紙が来ました。日本語で書いてありますね。,小李来信了。是用日语写的呢。,森,「プレゼントを渡す」· プレゼント · 授受动词 · 森应答。A＝课文「読みましょう。『お世話になりました。…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,読みましょう。『お世話になりました。日本でとても楽しかったです。また会いましょう。』,我们来读吧。「承蒙关照。在日本很开心。再会吧。」,A 标准答（森）：「プレゼントを渡す」· プレゼント · 授受动词；与教材会話一致.,読みましょう。『お世話になりました。』,我们来读吧。「承蒙关照。在日本很开心。再会吧。」,B 更短：省略前半或应答词，同事间接上文时用（森，可沟通）.,読みましょう。『お世話になりました。日本でとても楽しかったです。また会いましょう。』ね,我们来读吧。「承蒙关照。在日本很开心。再会吧。」,C 语气更软：句末「ね」等，缓和确认时用（森，非错答）.
2,第2单元,8,17,l8_dlg_17,プレゼントを渡す,読みましょう。『お世話になりました。日本でとても楽しかったです。また会いましょう。』,我们来读吧。「承蒙关照。在日本很开心。再会吧。」,小野,「プレゼントを渡す」· プレゼント · 授受动词 · 小野应答。A＝课文「李さんは日本語が上手ですね。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,李さんは日本語が上手ですね。,小李日语真好啊。,A 标准答（小野）：「プレゼントを渡す」· プレゼント · 授受动词；与教材会話一致.,ええ、李さんは日本語が上手ですね。,小李日语真好啊。,B 同场景变体：节奏快、信息略减（小野，可沟通）.,李さんは日本語が上手ですねね。,小李日语真好啊。,C 语气更软：句末「ね」等，缓和确认时用（小野，非错答）.
3,第3单元,9,1,l9_dlg_1,料理の感想,李さん、この四川料理はどうですか。,小李，这道四川菜怎么样？,李,「料理の感想」· 料理の感想 · イ形容詞 · 李应答。A＝课文「とても辛いですが、美味しいです。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,とても辛いですが、美味しいです。,非常辣，但很好吃。,A 标准答（李）：「料理の感想」· 料理の感想 · イ形容詞；与教材会話一致.,とても辛いですが、美味しいだよ。,非常辣，但很好吃。,B 口语体：です→だよ/るよ，轻松场合用（李，非错答）.,とても辛いですが、美味しいでございます。,非常辣，但很好吃。,C 更礼貌：对上级/客户或正式场合可选（李，非错答）.
